Sr,STYLE,SEASON,CATEGORY,COLOUR,SKU,SIZE,QTY
169,E00420,FW25,BLOUSE,LEOPARD,10478633,44,0
170,E00420,FW25,BLOUSE,LEOPARD,10478634,46,0
171,E00420,FW25,BLOUSE,LEOPARD,10478635,48,0
172,E00420,FW25,BLOUSE,LEOPARD,10478636,50,0
173,E00420,FW25,BLOUSE,LEOPARD,10478637,52,0
174,E00420,FW25,BLOUSE,LEOPARD,10478638,54,0
175,E00516,FW25,TOP,BLACK,10496750,38,0
176,E00516,FW25,TOP,BLACK,10496751,40,0
177,E00516,FW25,TOP,BLACK,10496752,42,0
178,E00516,FW25,TOP,BLACK,10496753,44,0
179,E00516,FW25,TOP,BLACK,10496754,46,0
180,E00516,FW25,TOP,BLACK,10496755,48,0
181,E00516,FW25,TOP,BLACK,10496756,50,0
182,E00516,FW25,TOP,BLACK,10496757,52,0
183,E00516,FW25,TOP,BLACK,10496758,54,0
184,EBJ006,FW25,PANTS,BLACK,10478590,38,0
185,EBJ006,FW25,PANTS,BLACK,10478591,40,0
186,EBJ006,FW25,PANTS,BLACK,10478592,42,0
187,EBJ006,FW25,PANTS,BLACK,10478593,44,0
188,EBJ006,FW25,PANTS,BLACK,10478594,46,0
189,EBJ006,FW25,PANTS,BLACK,10478595,48,0
190,EBJ006,FW25,PANTS,BLACK,10478596,50,0
191,EBJ006,FW25,PANTS,BLACK,10478597,52,0
192,EBJ006,FW25,PANTS,BLACK,10478598,54,0
193,EBJR05,FW25,PANTS,BLUE,10478580,36,0
194,EBJR05,FW25,PANTS,BLUE,10478581,38,0
195,EBJR05,FW25,PANTS,BLUE,10478582,40,0
196,EBJR05,FW25,PANTS,BLUE,10478583,42,0
197,EBJR05,FW25,PANTS,BLUE,10478584,44,0
198,EBJR05,FW25,PANTS,BLUE,10478585,46,0
199,ED0084,FW25,JUMPSUIT,BLACK,10496840,38,0
200,ED0084,FW25,JUMPSUIT,BLACK,10496841,40,0
201,ED0084,FW25,JUMPSUIT,BLACK,10496842,42,0
