Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Unit Price Base Measure Unit,Variant Barcode
,,,,,XS,,,BLACK,,,,,FW250052,0,,
,,,,,XS,,,BROWN,,,,,FW250052,0,,
,,,,,S,,,BLACK,,,,,FW250052,0,,
,,,,,S,,,BROWN,,,,,FW250052,0,,
,,,,,M,,,BLACK,,,,,FW250052,0,,
,,,,,M,,,BROWN,,,,,FW250052,0,,
,,,,,L,,,BLACK,,,,,FW250052,0,,
,,,,,L,,,BROWN,,,,,FW250052,0,,
,,,,,XL,,,BLACK,,,,,FW250052,0,,
,,,,,2XL,,,BLACK,,,,,FW250052,0,,
,,,,,3XL,,,BLACK,,,,,FW250052,0,,
,,,,,XL,,,BROWN,,,,,FW250052,0,,
,,,,,2XL,,,BROWN,,,,,FW250052,0,,
,,,,,3XL,,,BROWN,,,,,FW250052,0,,
,,"new-429622, SALE, TENSION",FALSE,SIZE,XXS,,COLOUR,BLACK,,,,,FW250051,0,,
,,,,,XXS,,,BROWN,,,,,FW250051,0,,
,,,,,XXS,,,GREY,,,,,FW250051,0,,
,,,,,XS,,,BLACK,,,,,FW250051,0,,
,,,,,XS,,,GREY,,,,,FW250051,0,,
,,,,,XS,,,BROWN,,,,,FW250051,0,,
,,,,,S,,,BLACK,,,,,FW250051,0,,
,,,,,S,,,GREY,,,,,FW250051,0,,
,,,,,S,,,BROWN,,,,,FW250051,0,,
,,,,,M,,,BLACK,,,,,FW250051,0,,
,,,,,M,,,GREY,,,,,FW250051,0,,
,,,,,M,,,BROWN,,,,,FW250051,0,,
,,,,,L,,,GREY,,,,,FW250051,0,,
,,,,,L,,,BROWN,,,,,FW250051,0,,
,,,,,L,,,BLACK,,,,,FW250051,0,,
,,,,,XL,,,BROWN,,,,,FW250051,0,,
,,,,,2XL,,,BROWN,,,,,FW250051,0,,
,,,,,3XL,,,BROWN,,,,,FW250051,0,,
,,,,,3XL,,,BLACK,,,,,FW250051,0,,
,,,,,2XL,,,BLACK,,,,,FW250051,0,,
,,,,,XL,,,BLACK,,,,,FW250051,0,,
,,,,,XL,,,GREY,,,,,FW250051,0,,
,,,,,2XL,,,GREY,,,,,FW250051,0,,
,,,,,3XL,,,GREY,,,,,FW250051,0,,
,,"new-429622, SALE, TENSION",FALSE,SIZE,XXS,,COLOUR,BLACK,,,,,FW250018,0,,
,,,,,XXS,,,BROWN,,,,,FW250018,0,,
,,,,,XXS,,,CHOCOLATE,,,,,FW250018,0,,
,,,,,XS,,,BLACK,,,,,FW250018,0,,
,,,,,XS,,,CHOCOLATE,,,,,FW250018,0,,
,,,,,XS,,,BROWN,,,,,FW250018,0,,
,,,,,S,,,BLACK,,,,,FW250018,0,,
,,,,,S,,,CHOCOLATE,,,,,FW250018,0,,
,,,,,S,,,BROWN,,,,,FW250018,0,,
,,,,,M,,,BLACK,,,,,FW250018,0,,
,,,,,M,,,CHOCOLATE,,,,,FW250018,0,,
,,,,,M,,,BROWN,,,,,FW250018,0,,
,,,,,L,,,CHOCOLATE,,,,,FW250018,0,,
,,,,,L,,,BROWN,,,,,FW250018,0,,
